Z,OV,T,V,C
38,245.32975783178003,7.0968428,950,3798
50,245.32975783178,14.198426599,1250,5999
102,237.165229940191,34.7789363,2550,17488
195,232.26651320523757,577.6010998,4875,64536
135,223.55768345420938,483.202241,3375,26765
246,231.3334243033417,506.2122494,6150,86347
111,229.000702048602,17.2028707,2775,13803
182,219.50719105794758,61.9293989,4550,42737
145,211.53275026542403,25.682370201,3625,25243
